ZipCode,Income,Income Change,Population,Density,White Percentage
83805,43507,1.03468,10972,3.73185,92.1
95476,76753,1.08792,483878,187.546,66.1
62329,51549,1.07876,19104,13.5748,97.4
74761,32129,1.04596,15205,12.8836,63.7
84037,79690,1.06887,306479,276.963,85.8
71612,38289,0.953939,77435,59.1738,41.4
58265,64962,1.20123,7413,2.85238,93.7
58563,67584,1.19811,27471,6.62442,93
88062,37880,0.928455,29514,5.24619,48.6
90086,64251,1.03872,9818605,1628.93,27.8
98108,89418,1.17822,1931249,399.364,64.8
60549,56243,0.975576,113924,55.9116,88.3
84021,63919,1.08378,18607,3.30822,87.1
75367,56854,1.06287,2368139,1838.46,33.1
95899,63902,1.01545,1418788,879.781,48.4
66622,55199,1.04302,177934,193.132,75.6
75835,34297,0.963376,23732,14.0297,62.4
76055,48823,1.11438,35089,25.5212,73.6
95938,48443,1.00641,220000,77.285,75.2
65656,46443,1.0073,32202,40.9456,96.1
72545,43391,1.08846,25970,28.9438,95.9
92325,60164,0.966223,2035210,67.9482,33.3
96799,,,,,
87416,50582,0.982161,130044,15.0834,42.5
94949,110217,1.10733,252409,288.153,72.8
91114,64251,1.03872,9818605,1628.93,27.8
85643,48649,0.972266,131346,15.1952,58.5
75689,52329,1.00768,53330,40.7483,66.1
97146,52583,1.11692,37039,20.8118,87.2
81228,54580,1.13995,17809,10.6081,86.6
91325,64251,1.03872,9818605,1628.93,27.8
76530,83679,1.09114,422679,276.188,63.8
65246,46992,1.01413,7831,6.05447,96.3
80940,65334,1.04136,622263,177.516,72
78212,55456,1.05714,1714773,1031.61,30.3
72578,36184,1.06059,12245,12.763,96.4
73041,38209,1.0523,9446,6.21262,77.3
78704,71767,1.19031,1024266,738.011,50.5
79408,50473,1.06356,278831,214.082,57.3
67447,56186,1.18595,8535,7.75432,95.9
88433,27075,0.843934,9041,2.09306,53.6
69354,51748,1.32841,9182,3.52048,87.8
68902,51536,1.04,31364,32.0778,88.5
96107,63018,1.02598,14202,2.82013,68.2
98504,69592,1.02436,252264,156.55,78.9
70823,52719,1.02388,440171,676.86,47
98860,54982,1.1583,89120,14.6512,57.3
76685,38032,1.09737,17866,16.7564,52.5
76180,64874,1.05202,1809034,1414.12,51.8
84309,59937,0.974973,49975,4.17355,88.3
65805,44808,0.978751,275174,256.51,89.5
77339,60146,1.04857,4092459,1703.04,33
97331,58655,1.09567,85579,64.2801,83.6
75643,51569,1.01377,23796,20.6266,73.6
77521,60146,1.04857,4092459,1703.04,33
80946,65334,1.04136,622263,177.516,72
70165,39576,0.94732,343829,763.86,30.5
68417,54828,1.03538,15740,14.6969,92.1
78548,29294,1.07494,60968,39.8433,4
94407,113776,1.1914,718451,958.361,42.3
70355,53089,1.00256,96318,56.9863,78
94960,110217,1.10733,252409,288.153,72.8
66840,63272,1.0081,65880,28.3744,91
97298,78010,1.1181,529710,360.822,69.7
82084,46865,0.979981,36299,4.69132,84.8
67747,51597,1.17525,2756,1.55041,94.7
84039,66736,1.00206,32588,4.22496,82.8
80734,50724,1.03195,4442,3.74627,79.4
74951,39769,0.981623,50384,21.0985,73.1
86030,40054,0.903175,107449,7.14662,43.9
99019,54852,1.04116,471221,120.052,86.7
72103,62152,1.08232,107118,99.9871,89
97720,41797,0.960296,7422,0.387081,89.6
61644,54770,0.987418,186494,168.608,72.7
63862,35399,0.965131,18956,17.2882,81.1
66510,55036,1.01576,16295,13.7389,95.5
80827,66861,0.935521,16206,4.39129,91.6
82055,46865,0.979981,36299,4.69132,84.8
89185,56802,0.905533,1951269,157.751,48
76258,83376,1.05883,662614,486.442,64.4
62722,60466,1.03824,197465,132.1,82.5
80135,115314,1.04257,285465,203.939,85.2
63041,55312,1.00992,101492,66.2901,96
77802,46839,1.10845,194851,255.104,59.1
99212,54852,1.04116,471221,120.052,86.7
90239,64251,1.03872,9818605,1628.93,27.8
94973,110217,1.10733,252409,288.153,72.8
79233,32921,1.01049,3353,2.5135,59.6
86432,43266,0.975332,200186,9.76684,79.6
